customer_id,snapshot_date,tenure_days,monthly_spend,support_tickets_30d,last_login_days_ago,churn_label,spend_per_ticket_30d,is_dormant_30d,region_east,region_north,region_south,region_west,tenure_bucket_new,tenure_bucket_growing,tenure_bucket_established,tenure_bucket_long_term
1,2026-01-09,1053,29.632066306304903,3,12,1,7.408016576576226,0,True,False,False,False,False,False,False,True
2,2026-03-11,75,58.620942652769784,3,45,1,14.655235663192446,1,False,False,True,False,True,False,False,False
3,2026-02-28,477,26.95955121148455,3,32,1,6.739887802871137,1,False,True,False,False,False,False,True,False
4,2026-02-09,550,40.70450796202236,1,57,1,20.35225398101118,1,False,True,False,False,False,False,True,False
5,2026-02-08,957,36.20922540036662,1,57,1,18.10461270018331,1,True,False,False,False,False,False,False,True
6,2026-03-19,155,47.46480989072874,1,26,0,23.73240494536437,0,False,False,False,True,False,True,False,False
7,2026-01-08,521,35.39264892216861,2,26,0,11.79754964072287,0,False,False,True,False,False,False,True,False
8,2026-03-04,183,40.93659559393594,1,7,0,20.46829779696797,0,False,False,False,True,False,True,False,False
9,2026-01-19,945,41.458048623330214,1,26,0,20.729024311665107,0,False,False,False,True,False,False,False,True
10,2026-01-09,759,33.984183639130485,0,74,1,33.984183639130485,1,True,False,False,False,False,False,False,True
11,2026-02-17,596,52.27640802745669,1,58,1,26.138204013728345,1,False,False,False,True,False,False,True,False
12,2026-03-29,472,48.57582562256138,1,84,1,24.28791281128069,1,False,False,True,False,False,False,True,False
13,2026-03-08,184,43.67079082120249,1,83,1,21.835395410601244,1,False,False,True,False,False,True,False,False
14,2026-03-10,1106,38.54312499807063,0,77,1,38.54312499807063,1,True,False,False,False,False,False,False,True
15,2026-03-06,777,56.94816045779996,1,16,0,28.47408022889998,0,True,False,False,False,False,False,False,True
16,2026-03-12,383,41.46248634278728,2,30,0,13.820828780929093,1,True,False,False,False,False,False,True,False
17,2026-02-16,497,40.39954068261094,1,5,0,20.19977034130547,0,False,False,True,False,False,False,True,False
18,2026-01-12,871,46.57035044832189,0,8,0,46.57035044832189,0,False,False,False,True,False,False,False,True
19,2026-03-17,863,70.44880024456276,0,20,0,70.44880024456276,0,False,True,False,False,False,False,False,True
20,2026-02-10,553,24.894656879681943,2,25,0,8.298218959893982,0,False,True,False,False,False,False,True,False
21,2026-02-15,364,56.547853395830316,0,1,0,56.547853395830316,0,False,False,True,False,False,True,False,False
22,2026-02-03,792,16.602432581428424,1,75,1,8.301216290714212,1,False,True,False,False,False,False,False,True
