customer_id,snapshot_date,tenure_days,monthly_spend,support_tickets_30d,last_login_days_ago,region,churn_label
1,2026-01-09,1053,29.632066306304903,3,12,east,1
2,2026-03-11,75,58.620942652769784,3,45,south,1
3,2026-02-28,477,26.95955121148455,3,32,north,1
4,2026-02-09,550,40.70450796202236,1,57,north,1
5,2026-02-08,957,36.20922540036662,1,57,east,1
6,2026-03-19,155,47.46480989072874,1,26,west,0
7,2026-01-08,521,35.39264892216861,2,26,south,0
8,2026-03-04,183,40.93659559393594,1,7,west,0
9,2026-01-19,945,41.458048623330214,1,26,west,0
10,2026-01-09,759,33.984183639130485,0,74,east,1
11,2026-02-17,596,52.27640802745669,1,58,west,1
12,2026-03-29,472,48.57582562256138,1,84,south,1
13,2026-03-08,184,43.67079082120249,1,83,south,1
14,2026-03-10,1106,38.54312499807063,0,77,east,1
15,2026-03-06,777,56.94816045779996,1,16,east,0
16,2026-03-12,383,41.46248634278728,2,30,east,0
17,2026-02-16,497,40.39954068261094,1,5,south,0
18,2026-01-12,871,46.57035044832189,0,8,west,0
19,2026-03-17,863,70.44880024456276,0,20,north,0
20,2026-02-10,553,24.894656879681943,2,25,north,0
21,2026-02-15,364,56.547853395830316,0,1,south,0
22,2026-02-03,792,16.602432581428424,1,75,north,1
23,2026-01-17,790,48.259097373429356,3,47,south,1
24,2026-03-25,720,68.62624241413096,2,59,east,1
25,2026-03-12,88,52.330027867009605,1,58,south,1
26,2026-02-27,567,47.55937617809689,3,87,north,1
27,2026-02-06,737,36.59325796795387,1,13,south,0
28,2026-03-16,1140,45.46570800732832,2,30,east,0
29,2026-02-19,631,41.219057768949654,0,27,west,0
30,2026-02-09,411,33.21035088102967,2,49,west,1
31,2026-02-10,667,40.651865767876956,4,47,east,1
32,2026-01-21,213,47.975717409396594,1,71,north,1
33,2026-01-09,109,33.491743972040396,1,50,north,1
34,2026-02-19,814,32.90577268972974,4,21,south,1
35,2026-03-21,1183,24.596348436117385,1,50,north,1
36,2026-01-06,1015,50.860875391333444,0,86,east,1
37,2026-03-19,700,53.17984892950591,3,52,south,1
38,2026-03-16,49,48.47490666354776,1,53,west,1
39,2026-01-25,1185,59.47755739092999,0,15,south,0
40,2026-02-26,540,46.31801455621091,1,0,south,0
41,2026-01-15,348,50.88016406048635,0,18,east,0
42,2026-03-10,1071,49.55756138456344,0,2,north,0
43,2026-03-05,895,43.62689970872688,1,40,west,0
44,2026-02-01,899,37.03767257805529,1,79,east,1
45,2026-01-07,334,78.21228923687866,1,40,east,0
46,2026-03-29,1190,38.22073530219737,1,58,south,1
47,2026-02-10,543,35.011834333193455,0,77,west,1
48,2026-03-22,638,51.510147351751606,1,68,west,1
49,2026-03-03,901,48.77781622942508,1,58,north,1
50,2026-03-12,792,23.928126785845087,1,70,east,1
51,2026-03-10,207,61.84017381845608,2,25,west,0
52,2026-01-18,363,43.5870813697375,0,37,south,0
53,2026-02-02,434,28.33603357176419,0,35,east,0
54,2026-02-12,1137,62.83176171530811,1,71,west,1
55,2026-02-14,857,54.38513357394231,4,36,south,1
56,2026-01-04,440,26.03187012078129,2,84,east,1
57,2026-02-19,881,71.65774260386587,4,16,east,1
58,2026-01-14,886,54.88196052549289,3,15,north,1
59,2026-03-08,473,44.847058265624305,0,64,north,1
60,2026-03-03,484,68.8532820843267,0,68,east,1
61,2026-03-25,1073,47.38946675744461,0,61,north,1
62,2026-03-09,674,44.57875387343952,1,27,west,0
63,2026-02-02,180,35.095498259670165,3,0,east,1
64,2026-03-29,864,53.72775658960618,1,28,east,0
65,2026-02-06,707,52.1490445098597,1,41,south,1
66,2026-01-30,611,45.220202098345666,0,37,south,0
67,2026-03-23,870,33.150204691985955,0,82,south,1
68,2026-02-03,1088,46.948947812491106,1,77,east,1
69,2026-01-07,397,43.95301821356793,3,69,south,1
70,2026-02-12,503,24.997885218986983,0,1,south,0
71,2026-03-13,228,22.922814730137215,1,11,north,0
72,2026-01-18,776,53.47730068214654,1,39,east,0
73,2026-02-11,483,5.9716752742246655,1,55,east,1
74,2026-01-12,411,48.0811579044189,1,61,east,1
75,2026-03-03,836,37.828754133692634,1,26,south,0
76,2026-02-12,490,64.62369910319865,2,9,north,0
77,2026-01-30,557,37.597976862691866,0,29,south,0
78,2026-01-21,528,54.89226321377844,1,71,south,1
79,2026-02-20,310,39.046292381433126,0,88,north,1
80,2026-03-02,151,46.706222302292154,2,84,west,1
81,2026-03-26,992,56.05254796380077,1,53,south,1
82,2026-02-09,110,38.0616642551313,1,8,south,0
83,2026-01-15,390,59.948323267476056,2,87,east,1
84,2026-03-16,801,30.094531843402752,0,13,west,0
85,2026-02-26,158,49.41889263837569,2,24,south,0
86,2026-03-05,786,58.83959584181779,3,87,east,1
87,2026-01-09,879,54.90056237685502,2,45,north,1
88,2026-01-29,795,73.74667315103116,1,17,east,0
89,2026-03-11,366,33.54841024034009,0,45,north,1
90,2026-03-16,24,24.31276122977118,1,7,north,0
91,2026-02-09,1064,30.08497337257321,0,28,east,0
92,2026-03-14,392,54.906638498226556,0,85,north,1
93,2026-03-17,966,52.46884401404068,2,26,north,0
94,2026-02-04,238,46.53384989471124,0,80,north,1
95,2026-03-22,195,28.15564426339305,2,48,west,1
96,2026-01-26,934,56.50300939993591,2,59,east,1
97,2026-01-22,1127,26.629428335241894,2,63,south,1
98,2026-03-03,1032,62.3842437356535,2,49,west,1
99,2026-02-27,901,87.86157634709798,3,3,south,1
100,2026-01-13,296,50.49676719857326,1,82,west,1
101,2026-03-16,1095,53.74662203486615,0,42,south,1
102,2026-01-18,801,37.60710346656661,2,58,north,1
103,2026-03-14,207,17.846800183697756,1,49,north,1
104,2026-01-01,156,35.95920955454666,1,59,south,1
105,2026-03-13,1045,28.60657138351876,0,31,north,0
106,2026-03-12,330,23.294931353774764,1,75,north,1
107,2026-03-12,919,70.83539912993474,1,20,south,0
108,2026-03-01,167,49.0929377703866,2,58,west,1
109,2026-02-12,337,50.695313709209756,0,52,north,1
110,2026-03-05,340,40.36466452205626,0,45,north,1
111,2026-01-25,338,42.406933763348455,2,1,west,0
112,2026-03-12,810,59.46826023359,1,35,north,0
113,2026-02-20,1097,44.51494321957177,2,4,west,0
114,2026-02-11,1092,52.96040907037099,2,45,east,1
115,2026-02-15,890,42.059935532324765,0,61,west,1
116,2026-02-21,243,39.86770663901929,0,47,east,1
117,2026-01-04,1152,23.89628751597207,1,68,east,1
118,2026-01-13,650,15.333764064493078,3,32,north,1
119,2026-01-23,655,41.07657148400397,0,27,east,0
120,2026-01-11,841,45.84745037989849,1,40,east,0
121,2026-02-09,923,25.708049449368136,4,20,west,1
122,2026-03-02,1143,44.48287702448051,2,72,north,1
123,2026-02-28,699,45.80628844485753,0,72,north,1
124,2026-02-12,732,12.659879909109314,0,37,north,0
125,2026-03-18,894,31.273130107807482,1,71,west,1
126,2026-02-20,306,51.10895840603203,3,2,north,1
127,2026-01-08,369,50.805880940936156,1,13,west,0
128,2026-03-10,750,27.694876254003592,2,25,south,0
129,2026-02-21,77,47.376720757496024,0,34,south,0
130,2026-02-27,385,60.33610838040708,0,20,west,0
131,2026-02-20,861,56.65609438486347,2,46,east,1
132,2026-02-19,1171,43.57071319479098,0,71,east,1
133,2026-01-09,623,37.980355300135614,1,41,west,1
134,2026-02-20,480,35.559832734982436,4,40,west,1
135,2026-03-13,529,52.017296743644856,1,5,east,0
136,2026-01-28,822,47.92655959714332,0,25,south,0
137,2026-02-24,653,54.441060091533004,1,72,west,1
138,2026-01-03,28,46.97810719681728,3,72,east,1
139,2026-02-01,647,57.28145925521163,2,9,west,0
140,2026-02-09,480,46.418887994365505,3,1,west,1
141,2026-03-30,841,56.7703307419753,0,74,east,1
142,2026-01-20,1050,58.062341555499586,1,15,south,0
143,2026-01-25,1154,32.932100546627794,0,51,west,1
144,2026-02-06,732,17.87783929693881,1,74,west,1
145,2026-03-31,435,68.1523928402183,0,70,north,1
146,2026-03-18,533,48.849880960683926,1,49,east,1
147,2026-01-04,212,19.282711567558177,1,33,east,0
148,2026-01-22,1123,34.29270754171934,1,69,east,1
149,2026-03-15,1016,56.57811438554742,1,62,west,1
150,2026-01-06,1024,40.80484753300661,1,75,south,1
151,2026-03-19,394,37.31907871021309,0,46,west,1
152,2026-01-26,387,66.0132279046945,3,84,east,1
153,2026-03-24,1028,29.290692804242845,0,69,north,1
154,2026-01-27,653,33.02769963367749,2,5,east,0
155,2026-02-09,845,48.170797125724015,2,26,north,0
156,2026-03-01,588,50.85682398080824,1,71,west,1
157,2026-01-12,531,52.44514551511097,0,10,west,0
158,2026-02-20,759,58.6685706685342,1,63,west,1
159,2026-02-15,975,47.97867931022275,3,30,east,1
160,2026-03-12,401,52.34075908407614,0,18,south,0
161,2026-03-31,971,41.11186111027375,1,48,south,1
162,2026-03-01,293,45.94047454855071,3,83,west,1
163,2026-02-06,483,46.61301270080452,1,80,north,1
164,2026-02-06,1095,48.22647203728554,1,36,west,0
